session_id,user_id,timestamp,event_type,device,browser,city,country,traffic_source,campaign,product_id,product_name,category,sub_category,unit_price,order_id,order_amount,quantity,payment_method,payment_status
sess_aa7e7e8a,user_655,2026-07-09T07:14:00+00:00,page_view,android,chrome,pune,India,google,(none),,,,,,,,,,
sess_455ae524,user_433,2026-07-03T06:14:00+00:00,page_view,desktop,chrome,pune,India,meta,(none),,,,,,,,,,
sess_2021ff94,user_666,2026-07-14T07:28:00+00:00,page_view,desktop,firefox,bangalore,India,meta,(none),,,,,,,,,,
sess_2021ff94,user_666,2026-07-14T07:30:00+00:00,search,desktop,firefox,bangalore,India,meta,(none),,,,,,,,,,
sess_2021ff94,user_666,2026-07-14T07:32:00+00:00,product_view,desktop,firefox,bangalore,India,meta,(none),prod_28,Product prod_28,Fashion,SubCat,2376.0,,,,,
sess_195bf582,user_160,2026-07-11T03:05:00+00:00,page_view,ios,chrome,delhi,India,direct,(none),,,,,,,,,,
sess_fd6d7607,user_619,2026-07-02T23:29:00+00:00,page_view,desktop,chrome,chennai,India,google,(none),,,,,,,,,,
sess_25d5f8fb,user_301,2026-07-12T18:12:00+00:00,page_view,desktop,chrome,bangalore,India,meta,win_back,,,,,,,,,,
sess_25d5f8fb,user_301,2026-07-12T18:14:00+00:00,search,desktop,chrome,bangalore,India,meta,win_back,,,,,,,,,,
sess_25d5f8fb,user_301,2026-07-12T18:16:00+00:00,product_view,desktop,chrome,bangalore,India,meta,win_back,prod_6,Product prod_6,Electronics,SubCat,927.0,,,,,
sess_25d5f8fb,user_301,2026-07-12T18:18:00+00:00,add_to_cart,desktop,chrome,bangalore,India,meta,win_back,prod_25,Product prod_25,Fashion,SubCat,3814.0,,,,,
sess_329ed53c,user_651,2026-07-06T11:22:00+00:00,page_view,android,firefox,bangalore,India,meta,(none),,,,,,,,,,
sess_329ed53c,user_651,2026-07-06T11:24:00+00:00,search,android,firefox,bangalore,India,meta,(none),,,,,,,,,,
sess_329ed53c,user_651,2026-07-06T11:26:00+00:00,product_view,android,firefox,bangalore,India,meta,(none),prod_47,Product prod_47,Electronics,SubCat,1438.0,,,,,
sess_329ed53c,user_651,2026-07-06T11:28:00+00:00,add_to_cart,android,firefox,bangalore,India,meta,(none),prod_30,Product prod_30,Fashion,SubCat,2311.0,,,,,
sess_807a00aa,user_948,2026-07-08T21:20:00+00:00,page_view,android,safari,bangalore,India,direct,(none),,,,,,,,,,
sess_807a00aa,user_948,2026-07-08T21:22:00+00:00,search,android,safari,bangalore,India,direct,(none),,,,,,,,,,
